bol_window,bol_std,long_ma,short_ma,sharpe_ratio,win_rate
180,1.0,550,80,1.6417065043370356,31.11111111111111
180,2.0,350,120,1.6409512236767763,41.7910447761194
80,1.0,650,60,1.64079747339048,32.121212121212125
120,3.0,950,80,1.6397455487857995,55.38461538461539
100,3.0,50,80,1.6384836367571285,46.15384615384615
100,3.0,150,80,1.6384836367571285,46.15384615384615
120,1.0,850,80,1.6379314832705254,35.24590163934426
80,1.0,350,120,1.6374609678046073,30.76923076923077
180,2.0,350,80,1.6358025318976905,45.6953642384106
20,1.0,350,100,1.635569180905978,29.310344827586203
60,2.0,350,80,1.6337193281691387,37.60330578512397
20,1.0,450,120,1.6337002726295071,30.037313432835823
80,3.0,550,120,1.6324489422067512,44.21052631578947
80,2.0,550,60,1.6319820634559128,42.792792792792795
160,1.0,350,80,1.6313008961693816,32.91139240506329
80,3.0,850,120,1.6312604717616679,41.37931034482759
100,3.0,550,60,1.6302891184853934,53.84615384615385
40,3.0,950,80,1.6301065131231995,41.935483870967744
120,1.0,250,80,1.62960733446344,33.532934131736525
100,1.0,250,100,1.6291538675509847,32.97872340425532
60,3.0,750,20,1.6289146666587062,48.1203007518797
80,1.0,450,60,1.6285516364058659,32.080924855491325
40,1.0,550,60,1.6280911837173373,28.95927601809955
160,1.0,50,100,1.6279477674239398,33.666666666666664
120,3.0,750,100,1.6264949265754989,57.534246575342465
160,1.0,250,100,1.6257963343751973,32.98969072164948
20,2.0,650,20,1.62472809508402,39.48339483394834
120,1.0,650,80,1.6243175532661247,33.85214007782101
20,1.0,850,120,1.6232639987758435,29.021558872305143
20,3.0,650,80,1.6230368479159496,43.24324324324324
40,2.0,250,120,1.622441308422859,30.53435114503817
20,3.0,750,60,1.6223522589729251,42.48366013071895
20,2.0,850,80,1.6207711532750013,31.536388140161726
40,2.0,50,20,1.6170730124459542,40.79365079365079
80,3.0,150,100,1.6169423342379512,44.776119402985074
20,3.0,750,80,1.616178237678596,42.5531914893617
160,3.0,650,100,1.6159961136605168,59.154929577464785
120,3.0,950,100,1.6159796826028396,56.92307692307692
60,2.0,650,60,1.6157266987637036,39.24050632911392
180,1.0,850,60,1.614312969999869,29.50391644908616
20,2.0,350,100,1.6142027192898813,31.321839080459768
120,3.0,550,120,1.6126758315191536,50.649350649350644
20,3.0,650,60,1.6126574991327074,42.5
20,3.0,250,80,1.6124943762073942,41.86046511627907
20,3.0,250,100,1.6121135361428773,39.1566265060241
120,2.0,450,120,1.6109610911409726,42.281879194630875
180,2.0,50,100,1.6106290857355872,44.666666666666664
180,2.0,150,100,1.6106290857355872,44.666666666666664
40,1.0,750,60,1.6097466753252523,28.235294117647058
20,3.0,850,60,1.6096768202030058,41.55844155844156
180,1.0,650,60,1.6092799556423025,28.92768079800499
40,3.0,150,80,1.6088417824458927,37.696335078534034
80,4.0,750,120,1.608193182206818,56.666666666666664
80,3.0,50,20,1.6078186154011491,48.466257668711656
